"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
686	"NA_[686_156.04_4.2]"	1.64172181149477	-0.0861322021287468	0.0527936397741483
687	"glycine betaine_[687_140.07_4.2]"	1.64154158164608	-0.0864657640585875	0.0516547000621287
243	"NA_[243_808.58_1.3]"	1.576098992714	-0.0808318170791363	0.0564958022164605
213	"NA_[213_1545.17_1.1]"	1.57237137821677	-0.0802122293317996	0.0562855605585168
161	"NA_[161_786.6_0.9]"	1.55018363184833	-0.079581807161354	0.0547158401149001
171	"NA_[171_1516.13_0.9]"	1.54059085574336	-0.0785247869200704	0.05504404133021
281	"dioleoyl phosphatidylethanolamine_[281_744.55_1.7]"	1.49962382175849	-0.0767202551852623	0.0531843068435153
160	"NA_[160_1573.2_0.9]"	1.49095874171165	-0.0761376934835021	0.053585842698952
543	"2-aminopteridin-4-ol_[543_186.04_3]"	1.48806038366968	-0.076421634533044	0.0537602173519058
159	"NA_[159_1572.2_0.9]"	1.47935131150742	-0.0756192981891967	0.0531172707760158
680	"N-(D-ribulosyl)-cadaverine(2+)_[680_257.15_4.2]"	1.47687285699187	-0.0764155961951093	0.0510849097077443
244	"NA_[244_704.49_1.3]"	1.46965610456455	-0.0749571173090887	0.0530358278260661
166	"NA_[166_1544.16_0.9]"	1.46872398571707	-0.0751029649752446	0.0523495821623392
162	"(S)-3-Amino-5-methylhexanoic acid_[162_184.07_0.9]"	1.45187842771355	-0.0748424334079979	0.0508140498491812
274	"NA_[274_786.6_1.6]"	1.45006491238207	-0.0743763280399537	0.0515462744560286
284	"NA_[284_1488.1_1.7]"	1.41817443913157	-0.072333047645606	0.0504136365264229
351	"NA_[351_760.55_2]"	1.39951534477732	-0.071388328166802	0.0508375409150134
221	"NA_[221_808.58_1.2]"	1.39536000021222	-0.0725039443154441	0.0486088158564481
173	"NA_[173_1518.15_0.9]"	1.38436341562251	-0.0706609832351383	0.0495391820804249
150	"NA_[150_808.58_0.9]"	1.37818304100175	-0.0736763936767563	0.0386081572756166
