"features"	"LV1"	"LV2"
100	-0.0521128870262037	-0.0252388887885278
101	-0.0152873138066795	-0.0341330693841058
102	-0.0350594469360568	-0.0775206431081547
1020	-0.00929537222993531	-0.0267428455711561
1021	-0.0261058707135897	-0.0110805328700367
1026	-0.0224337489635484	-0.014867782836765
103	-0.0355469493197376	-0.0789283086971495
1036	-0.0245971283611026	-0.0103716664207502
104	-0.0629110373041692	-0.0760032117746127
105	-0.00913928078225904	-0.0252762816777029
106	-0.0399930965875357	-0.00126461531890375
107	-0.0261183988095345	-0.0590373304466017
1079	-0.0190194190714077	-0.0174037000259186
108	-0.0185500969566096	-0.0348179151300608
1084	-0.049729234983976	-0.0570379207687894
109	-0.0561476973398814	-0.0418963637546241
1094	-0.0185785704659663	-0.0161873054031613
110	-0.00834648091146297	-0.00641314883935358
1101	-0.0531507732634201	0.0297350077429998
111	-0.0291103875422203	0.105709170455982
1121	-0.0400907253490351	0.0192622627606054
1127	-0.0394540659697909	0.0069163266179355
113	-0.0299886711772267	0.108063767456853
114	-0.0458630989465097	0.031298716242125
117	-0.0488565533013985	0.0412088373553487
118	-0.0328033097938874	0.0751684030835101
119	-0.029366754378277	0.106982096113963
120	-0.0300095947311902	-0.0131140994278493
121	-0.0286369970846294	0.104976349150764
122	-0.0338459769874474	0.096211809228352
123	-0.0285685920449104	0.10338925109198
124	-0.0339411166723515	0.0705911216385393
125	-0.00948820141030739	-0.0240059552660723
126	-0.0340238546822276	0.0895359790716839
127	-0.05146934846617	-0.11087800976317
128	-0.0194094541179955	-0.0404407622648035
129	-0.0148001530774336	-0.033284348861649
130	-0.0745808115521099	-0.0358620416234926
132	-0.0249840528096502	-0.050198908583733
133	-0.0581722867493541	0.0183983062972669
134	-0.0612355486661647	0.0197799105096984
135	-0.0486985276730492	0.0478218491281005
137	-0.0468658984439145	-0.0298861320746256
139	-0.0118447035120551	-0.0193707385626466
141	-0.0398164849899024	-0.0827556516958301
142	-0.0384236234063621	-0.0790139529889744
