"feature_id_full","feature_id","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"232_136.06_2",232,136.061820222295,1.9683437,0.0213344376252448,0.00178663079167651,3.1093930963344e-07,0.497708301107557,1.28527723681771e-05,8.6027331601457e-05,1.67091880063556,2.74796518543735,6.50732437001951,0.303025115745546,4.89100318405747,4.0653635478506,0.65550457296635,0.611337796337745,0.526436717846077,0.932621710892515,0.803101518367442,0.861122477621583,-0.609322249798284,-0.709958329513115,-0.925667977381381,-0.100636079714831,-0.316345727583097,-0.215709647868267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99_426.7_0.6",99,426.698921950155,0.60386264,0.0402185917318658,0.000128628813219511,0.0163182262316522,0.01947069620564,0.953746751043346,0.0478952151129315,1.39557314044707,3.89066173731682,1.78732705021889,1.71061851931397,0.0205669284670499,1.31970787184324,1.33057261855443,0.958966188413558,0.76947068833703,0.720716911682284,0.57830040811527,0.802396056955861,0.412047250359671,-0.0604481458254187,-0.378061724274406,-0.47249539618509,-0.790108974634077,-0.317613578448987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82_175.12_0.6",82,175.118984286645,0.56262577,0.0429912389403452,0.197781850341604,0.0655260387436369,0.793144577839275,0.000383669043645729,0.00166568720486893,1.36662003901414,0.703813564397801,1.18358608572583,0.100647640381392,3.41604324045818,2.77840655032035,1.56911944775126,1.75572837573151,1.25982508489126,1.1189258907266,0.802886667867603,0.717551246710566,0.649955180297796,0.812069666458545,0.333223442711442,0.162114486160749,-0.316731737586354,-0.478846223747103,"Amino acids and Peptides","Small peptides","Aminoacids","2-Iminiumyl-1,3-diazepane-4-carboxylate",NA,"N=C(N)NCCC[C@H](N)C(=O)O","C1CC(NC(=NC1)N)C(=O)O",NA,NA,NA,NA,"ODKSFYDXXFIFQN","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1","ODKSFYDXXFIFQN-BYPYZUCNSA-N","InChI=1S/C6H11N3O2/c7-6-8-3-1-2-4(9-6)5(10)11/h4H,1-3H2,(H,10,11)(H3,7,8,9)","IKIABDZHSNNOSK"
"109_302.8_0.6",109,302.800103156122,0.61873025,0.0433759002684545,0.000273684305943989,0.00288853506737552,0.0442758353807402,0.43379358378101,0.47996764271088,1.36275149830909,3.56275010590498,2.53932235567139,1.35383323594651,0.362716875902069,0.318788039844799,1.1536714706475,0.876444369617297,0.706106012103793,0.759700132937664,0.612051203543665,0.805648409164996,0.206232448292949,-0.190265572897739,-0.502043294316278,-0.396498021190688,-0.708275742609227,-0.311777721418539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107_175.11_0.6",107,175.107756436574,0.6165733,0.0537319738584603,0.00255054661389875,0.866149149273268,0.337249953150648,0.0139977936518393,0.000725707372148165,1.26976720521408,2.59336673487578,0.0624073168406235,0.472048101986426,1.85394041291777,3.13923846508574,0.624751838472499,0.71078374831158,0.92183268963993,1.13770573296659,1.47551817037271,1.29692426399687,-0.678644853115191,-0.492517399590453,-0.117423166065913,0.186127453524738,0.561221687049279,0.37509423352454,"Amino acids and Peptides","Small peptides","Aminoacids","methyl 2-acetyl-3-iminobutanoate",NA,NA,"CC(=N)C(C(=O)C)C(=O)OC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C7H11NO3/c1-4(8)6(5(2)9)7(10)11-3/h6,8H,1-3H3","XFMMSQQRBYPHPZ"
"96_149.94_0.6",96,149.940398659692,0.6013022,0.0774744707271273,0.00412988885815913,0.39190196223614,0.370010194886871,0.714606642609052,0.071786696593755,1.11084138199508,2.38406163573771,0.406822562022805,0.431786309657019,0.145932951140788,1.14395603112312,1.29480342645482,1.0966747174059,0.880427918561694,0.846981630569668,0.679970334162855,0.80281591668702,0.372733088487062,0.133135674168477,-0.183723200757522,-0.239597414318584,-0.556456289244584,-0.316858874925999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41_255.94_0.5",41,255.939095572398,0.49409848,0.0886681731525701,0.0130098434367031,0.449792110433979,0.692154103153398,0.696182104494135,0.176418429712559,1.05223223929585,1.8857279298016,0.346988166563876,0.159797202222002,0.157277144538281,0.753456047864151,0.801032616879606,0.889839037480969,1.20837432450743,1.1108649245112,1.50852075064635,1.35796955809918,-0.320067106619902,-0.168383703560879,0.27306743517375,0.151683403059023,0.593134541793651,0.441451138734629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46_143.15_0.5",46,143.15411554069,0.4973343,0.0996814663990307,0.0184137601395851,6.65239019426167e-09,0.76367095439144,1.39018085931752e-09,7.77898079284967e-10,1.00138558179724,1.73485751833307,8.1770222852726,0.11709372712348,8.8569286953617,9.10907730083001,0.534773368099142,0.547154834479803,0.582443502394338,1.02315273556847,1.08914081579014,1.06449484805902,-0.903000474385022,-0.869978948657136,-0.779809981203881,0.0330215257278856,0.123190493181141,0.0901689674532553,"Alkaloids","Ornithine alkaloids","Polyamines","4-(Pyrrolidin-1-yl)butan-1-amine",NA,NA,"C1CCN(C1)CCCCN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H18N2/c9-5-1-2-6-10-7-3-4-8-10/h1-9H2","LSDYCEIPEBJKPT"
"31_214.91_0.5",31,214.91249267304,0.49371797,0.106600883386316,0.00196847816797896,0.210400673872039,0.147405911637381,0.972246411481877,0.0725871696395268,0.972239196358108,2.70586939752544,0.676952873556134,0.831485098973501,0.0122236511390991,1.13914013752562,0.762923829889019,0.953720001256789,1.30938486992826,1.25008547890754,1.71627208199636,1.37292378077716,-0.390389068924411,-0.0683623214132901,0.388889213651431,0.322026747511121,0.779278282575842,0.457251535064721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250_239.65_2.3",250,239.654791307431,2.2718134,0.107139090859493,0.0358184085618126,0.780167728524343,0.916097951116963,0.0209856789190259,0.00683593606387201,0.970052043200986,1.44589371408099,0.107812018153511,0.0380580881713429,1.67807697613002,2.16520200786433,0.618071412797974,0.657331562213189,0.875209430955576,1.06352040978159,1.41603286098212,1.33145809705046,-0.69415455621187,-0.605306836210745,-0.192299810687957,0.0888477200011239,0.501854745523912,0.413007025522788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
