"samples"	"PC1"	"PC2"	"PC3"
"20260424_CVOL_Group_01_11A.mzML"	-0.0633104543555414	-0.360471238714365	-0.0468085409932573
"20260424_CVOL_Group_01_11B.mzML"	0.535288021974399	-0.086326156047457	-0.398887779857031
"20260424_CVOL_Group_01_11C.mzML"	0.285226837273945	0.146340280660173	0.315134179222218
"20260424_CVOL_Group_01_11D.mzML"	-0.0364301940164902	-0.0783499687720873	0.179640118582698
"20260424_CVOL_Group_01_4A.mzML"	-0.539094916370959	0.139844391763726	-0.15563581221007
"20260424_CVOL_Group_01_4B.mzML"	-0.414943249070522	0.282117493263905	0.0047909041703898
"20260424_CVOL_Group_01_4C.mzML"	-0.267501786341248	0.591819215580002	-0.184306681626536
"20260424_CVOL_Group_01_4D.mzML"	-0.448658553859706	0.181794377637338	0.113430257748131
"20260424_CVOL_Group_01_8A.mzML"	0.306701514450715	0.140834791560433	0.374724221137654
"20260424_CVOL_Group_01_8B.mzML"	0.436784195908152	0.173959804241244	-0.0707674609196516
"20260424_CVOL_Group_01_8C.mzML"	-0.28380377011506	-0.343607928903934	-0.0984588778027226
"20260424_CVOL_Group_01_8D.mzML"	0.568643823289256	0.1539518661786	-0.278197299082259
"20260424_CVOL_Group_01_WT_A.mzML"	-0.0286952444243164	-0.162396634307797	0.156594820275814
"20260424_CVOL_Group_01_WT_B.mzML"	-0.170161151548465	-0.457644198811291	-0.00983344988949841
"20260424_CVOL_Group_01_WT_C.mzML"	0.312374714966514	-0.074452260756404	0.227644341243101
"20260424_CVOL_Group_01_WT_D.mzML"	-0.192419787760674	-0.247413834572085	-0.129062939998979
