"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
58	"NA_[58_161.18_0.5]"	1.83297329712957	-0.0683928711235929	-0.142599060543576
63	"NA_[63_160.18_0.5]"	1.82250638607637	-0.067856174570661	-0.141851770670768
145	"NA_[145_161.18_0.7]"	1.79368884830077	-0.0677990820188143	-0.138147280979706
146	"NA_[146_160.18_0.7]"	1.76870574403828	-0.0670190053623426	-0.135534081546288
144	"NA_[144_126.13_0.7]"	1.74178325825255	-0.0655412698318756	-0.135559228768307
53	"NA_[53_126.13_0.5]"	1.70817199850526	-0.0633457131901273	-0.133639485368553
147	"NA_[147_161.18_0.7]"	1.68221612564947	-0.0635723130503039	-0.130194546245392
46	"NA_[46_143.15_0.5]"	1.65012561109987	-0.0613586942920409	-0.128649259578312
143	"NA_[143_143.15_0.7]"	1.61469992104819	-0.0607390511159716	-0.125704337876633
617	"NA_[617_160.18_6.5]"	1.60445022511422	-0.0594801775879706	-0.12779042842166
56	"NA_[56_146.17_0.5]"	1.59700311301088	-0.0597922687226733	-0.123608738415666
130	"NA_[130_294.86_0.6]"	1.56876487151184	-0.0745808115521099	-0.0358620416234926
230	"5'-S-methyl-5'-thioadenosine_[230_298.1_2]"	1.55152636831945	-0.0600632665594648	-0.11497031058907
189	"NA_[189_292.21_1.4]"	1.54812723203239	-0.0744846495101659	0.0238199426651165
166	"NA_[166_310.22_1]"	1.50109913803206	-0.073131038441793	0.0190139462692798
50	"NA_[50_129.14_0.5]"	1.49941587466197	-0.0561740602989752	-0.116458007753117
44	"NA_[44_230.89_0.5]"	1.48366743937504	-0.057841162623962	-0.106223425720354
75	"NA_[75_156.04_0.6]"	1.46610803588512	-0.0574360206112995	-0.103814237015445
98	"NA_[98_151.94_0.6]"	1.44926430452417	-0.0695341884282405	-0.0157951358660066
199	"NA_[199_262.2_1.5]"	1.44127880451413	-0.069638141977852	0.0298047699654841
93	"NA_[93_129.93_0.6]"	1.43404283784525	-0.069476162201351	-0.024140550261986
127	"5'-S-methyl-5'-thioadenosine_[127_298.1_0.7]"	1.41563797994906	-0.05146934846617	-0.11087800976317
597	"NA_[597_415.21_6.5]"	1.41195455313024	-0.0699725163836007	-0.0192126364797579
232	"NA_[232_136.06_2]"	1.41057375763145	-0.053765666834369	-0.106409412136484
104	"NA_[104_284.83_0.6]"	1.39650926922463	-0.0629110373041692	-0.0760032117746127
336	"NA_[336_316.18_3.5]"	1.38614428354897	-0.0671735534163203	0.0287289140990326
74	"NA_[74_188.18_0.6]"	1.37566635197553	-0.0537423921755155	-0.104173565790266
595	"NA_[595_281.14_6.5]"	1.37553867012578	-0.0680174030347705	-0.0165281435945786
227	"NA_[227_136.06_1.9]"	1.37429939464383	-0.0591996901046139	-0.0728091269948463
