"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_compoundId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"feature_id"
"B(C1=CN=C(N=C1)O[Si](C(C)C)(C(C)C)C(C)C)(O)O"	1	1	"-Infinity"	"-Infinity"	-177.958	1	1	115.571	"C13H25BN2O3Si"	"[M + Na]+"	"C13H25BN2NaO3Si+"	"SJUOGDRNRZQVAZ"	"InChI=1S/C13H25BN2O3Si/c1-9(2)20(10(3)4,11(5)6)19-13-15-7-12(8-16-13)14(17)18/h7-11,17-18H,1-6H3"	"[2-Tri(propan-2-yl)silyloxypyrimidin-5-yl]boronic acid"	3.387	"2763230"	"PUBCHEM:(2763230)"	2	318.166	113	1.879	836961220394155008	836961009907192576	836961009902998272	222	NA	NA	NA	222
"B(C1=CN=C(N=C1)O[Si](C(C)C)(C(C)C)C(C)C)(O)O"	1	1	"-Infinity"	"-Infinity"	-182.097	1	1	105.927	"C13H25BN2O3Si"	"[M + Na]+"	"C13H25BN2NaO3Si+"	"SJUOGDRNRZQVAZ"	"InChI=1S/C13H25BN2O3Si/c1-9(2)20(10(3)4,11(5)6)19-13-15-7-12(8-16-13)14(17)18/h7-11,17-18H,1-6H3"	"[2-Tri(propan-2-yl)silyloxypyrimidin-5-yl]boronic acid"	3.387	"2763230"	"PUBCHEM:(2763230)"	2	318.166	113	1.878	836961171132049792	836961010045604736	836961010041410432	226	NA	NA	NA	226
"B(C1CC=CCN1C(=O)OC(C)(C)C)(O)OC(C)(C)C(C)(C)O"	1	1	"0.010"	"0.010"	-300.087	0.351	0.333	79.166	"C16H30BNO5"	"[M + H3N + H]+"	"C16H34BN2O5+"	"WUWFRRJWOYHESD"	"InChI=1S/C16H30BNO5/c1-14(2,3)22-13(19)18-11-9-8-10-12(18)17(21)23-16(6,7)15(4,5)20/h8-9,12,20-21H,10-11H2,1-7H3"	"(3-hydroxy-2,3-dimethylbutan-2-yl)oxy-[1-[(2-methylpropan-2-yl)oxycarbonyl]-3,6-dihydro-2H-pyridin-2-yl]borinic acid"	2.492	"68961834"	"PUBCHEM:(68961834)"	2	344.258	524	8.732	836961262886654336	836961031440751872	836961031440751872	838	NA	NA	NA	838
"B(CCSCC(C(=O)O)N)(O)O"	1	3	"0.126"	"0.126"	-73.125	0.029	0.333	20.435	"C5H12BNO4S"	"[M + H]+"	"C5H13BNO4S+"	"OTJHLDXXJHAZTN"	"InChI=1S/C5H12BNO4S/c7-4(5(8)9)3-12-2-1-6(10)11/h4,10-11H,1-3,7H2,(H,8,9)"	"2-Amino-3-(2-boronoethylsulfanyl)propanoic acid"	-1.162	"9877608;16760312;2306"	"PUBCHEMANNOTATIONBIO:(null);BloodExposome:(9877608);CHEBI:(59346 95019);MESH:(9877608);PUBCHEM:(9877608 16760312 2306);DSSTox:(DTXSID00432180);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137493479526	193.068	45	0.754	836961304414460928	836961007080231424	836961007076037120	153	NA	"CHEBI:59346"	"S-(2-boronoethyl)-L-cysteine"	153
"B(O)(OCCCCCCCCCCCC)ON"	1	1	"-Infinity"	"-Infinity"	-179.075	0.998	0.5	36.475	"C12H28BNO3"	"[M + H]+"	"C12H29BNO3+"	"YQYXNQGXKGXNJY"	"InChI=1S/C12H28BNO3/c1-2-3-4-5-6-7-8-9-10-11-12-16-13(15)17-14/h15H,2-12,14H2,1H3"	"Aminooxy(dodecoxy)borinic acid"	4.026	"57117369"	"PUBCHEM:(57117369)"	2	245.226	419	6.988	836961233174201088	836961025711331968	836961025711331968	674	NA	NA	NA	674
"B1(OC(C(O1)(C)C)(C)C)C2=C(C(=CC=C2)O[Si](C)(C)C(C)(C)C)F"	1	2	"-Infinity"	"-Infinity"	-167.584	0.297	0.328	84.338	"C18H30BFO3Si"	"[M + H3N + H]+"	"C18H34BFNO3Si+"	"VDUCYBBMHZRTDY"	"InChI=1S/C18H30BFO3Si/c1-16(2,3)24(8,9)21-14-12-10-11-13(15(14)20)19-22-17(4,5)18(6,7)23-19/h10-12H,1-9H3"	"Tert-butyl-[2-fluoro-3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenoxy]-dimethylsilane"	5.713	"152113796"	"PUBCHEM:(152113796)"	2	369.242	597	9.955	836961302778682240	836961036754935552	836961036754935552	989	NA	NA	NA	989
"B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)CN"	1	3	"0.027"	"0.027"	-213.017	0.324	0.333	34.98	"C11H18BNO2S"	"[M + H]+"	"C11H19BNO2S+"	"VLUVVVWTGJCKHN"	"InChI=1S/C11H18BNO2S/c1-10(2)11(3,4)15-12(14-10)9-6-5-8(7-13)16-9/h5-6H,7,13H2,1-4H3"	"[5-(Tetramethyl-1,3,2-dioxaborolan-2-yl)thiophen-2-yl]methanamine"	1.81	"68607487"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(68607487)"	67108866	239.125	367	6.122	836961220931025920	836961020850132992	836961020850132992	536	NA	NA	NA	536
"C(=[N+]=[N-])O[P+](=O)O"	1	1	"-Infinity"	"-Infinity"	-47.282	1	0.994	10.551	"CHN2O3P"	"[M + Na]+"	"CHN2NaO3P+"	"QHFJSLSLEZTOTO"	"InChI=1S/CHN2O3P/c2-3-1-6-7(4)5/h1H/p+1"	"Diazomethoxy-hydroxy-oxophosphanium"	-0.2	"87236604;87236605"	"PUBCHEM:(87236604 87236605)"	2	142.962	29	0.486	836961145706177280	836961000419676160	836961000415481856	19	NA	NA	NA	19
"C(=CC=CC=CC(=O)O)C=CC=CC(=O)O"	1	5	"0.063"	"0.063"	-69.614	0.122	0.248	57.249	"C12H12O4"	"[M + H3N + H]+"	"C12H16NO4+"	"FORGDFXOZRGJFN"	"InChI=1S/C12H12O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H,(H,13,14)(H,15,16)"	"(2E,4E,6E,8E,10E)-dodeca-2,4,6,8,10-pentaenedioic acid"	2.1	"85961028;121009197"	"LotusExpanded;PUBCHEM:(85961028 121009197)"	8589934594	238.107	309	5.146	836961218246671104	836961017331111552	836961017331111552	434	NA	NA	NA	434
"C(=CC=CO)C=CC=O"	1	1	"0.055"	"0.055"	-45.987	0.992	0.333	69.064	"C7H8O2"	"[M + H3N + H]+"	"C7H12NO2+"	"FVWOTSUMOKOGAM"	"InChI=1S/C7H8O2/c8-6-4-2-1-3-5-7-9/h1-8H"	"7-Hydroxy-2,4,6-heptatrienal"	0.9	"17775837;58771554;58771555;20734747;73411107"	"PUBCHEM:(17775837 58771554 58771555 20734747 73411107)"	2	142.086	78	1.294	836961166170187648	836961008464351872	836961008464351872	182	NA	NA	NA	182
"C(=N)(N)S(=O)[O]"	1	1	"-Infinity"	"-Infinity"	-62.875	1	0.999	7.285	"CH3N2O2S"	"[M + K]+"	"CH3KN2O2S+"	"AIKBVNQNCZLRSK"	"InChI=1S/CH3N2O2S/c2-1(3)6(4)5/h(H3,2,3)"	NA	-1.1	"59996189"	"PUBCHEM:(59996189)"	2	145.954	574	9.575	836961285129050240	836961035521810048	836961035521810048	954	NA	NA	NA	954
"C(=N)(N)S(=O)[O]"	1	1	"-Infinity"	"-Infinity"	-65.784	1	0.979	4.075	"CH3N2O2S"	"[M + K]+"	"CH3KN2O2S+"	"AIKBVNQNCZLRSK"	"InChI=1S/CH3N2O2S/c2-1(3)6(4)5/h(H3,2,3)"	NA	-1.1	"59996189"	"PUBCHEM:(59996189)"	2	145.954	608	10.14	836961327319556352	836961037606379392	836961037606379392	1013	NA	NA	NA	1013
"C(=N)(N)S(=O)[O]"	1	1	"-Infinity"	"-Infinity"	-68.712	1	0.955	11.333	"CH3N2O2S"	"[M + K]+"	"CH3KN2O2S+"	"AIKBVNQNCZLRSK"	"InChI=1S/CH3N2O2S/c2-1(3)6(4)5/h(H3,2,3)"	NA	-1.1	"59996189"	"PUBCHEM:(59996189)"	2	145.954	559	9.315	836961275213714816	836961033810533888	836961033810533888	906	NA	NA	NA	906
