structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.029	0.029	-96.280	0.999	0.999	18.205	C6H14F3N3	[M + K]+	C6H14F3KN3+	NLKVTFIRFAXIAP	InChI=1S/C6H14F3N3/c1-2-3-12-5(7,8)4-6(9,10)11/h12H,2-4,10-11H2,1H3	1,3,3-trifluoro-3-N-propylpropane-1,1,3-triamine	CCCNC(CC(N)(N)F)(F)F	0.400	141261126	PUBCHEM:(141261126)	2	224.076	24	0.407	836961146066887394	836960998989418443	836960998981029834	2	
1	1	0.098	0.098	-46.989	1.000	0.500	25.131	C8H18N2	[M + H3N + H]+	C8H22N3+	PXZQKOBVOJEWOH	InChI=1S/C8H18N2/c9-5-1-2-6-10-7-8-3-4-8/h8,10H,1-7,9H2	N'-(cyclopropylmethyl)butane-1,4-diamine	C1CC1CNCCCCN	0.300	60893628	PUBCHEM:(60893628)	2	160.181	28	0.469	836961139104342609	836960999241076691	836960999236882386	4	
1	1	0.160	0.160	-60.016	1.000	1.000	56.819	C6H9O4P	[M + Na]+	C6H9NaO4P+	SVFGYYHVGLDSPE	InChI=1S/C6H9O4P/c1-2-3-4-5-6-10-11(7,8)9/h4-5H,6H2,1H3,(H2,7,8,9)	SVFGYYHVGLDSPE	CC#CC=CCOP(=O)(O)O	0.432		LotusExpanded	8589934592	199.013	28	0.470	836961147417453328	836960999421431767	836960999417237462	5	
1	1	0.041	0.041	-41.750	0.741	0.500	48.121	C3H6O5S	[M + H]+	C3H7O5S+	BKEZNIFOORQAPK	InChI=1S/C3H6O5S/c4-2(3(5)6)1-9(7)8/h2,4H,1H2,(H,5,6)(H,7,8)	2-Hydroxy-3-sulfinopropanoic acid	C(C(C(=O)O)O)S(=O)O	-1.700	13120911	LotusExpanded;PUBCHEM:(13120911)	8589934594	155.003	28	0.472	836961146847027960	836960999744393191	836960999744393190	9	
1	1	0.009	0.009	-67.204	1.000	1.000	85.922	C5H12O6S4	[M + Na]+	C5H12NaO6S4+	GDCVHJYYVDPBRY	InChI=1S/C5H12O6S4/c1-10-14(6,7)4-12-3-13-5-15(8,9)11-2/h3-5H2,1-2H3	Methyl methoxysulfonylmethylsulfanylmethylsulfanylmethanesulfonate	COS(=O)(=O)CSCSCS(=O)(=O)OC	0.700	158219928	PUBCHEM:(158219928)	2	318.944	29	0.476	836961162554697324	836960999882805231	836960999878610926	11	
1	1	0.057	0.057	-59.971	0.990	0.962	13.168	C3H2O3S	[M + Na]+	C3H2NaO3S+	UFVXNZLUXSHTTF	InChI=1S/C3H2O3S/c4-2(5)1-3(6)7-1/h1H,(H,4,5)	[(3S)-3-carboxythiiran-2-ylidene]oxidanium	C1(C(=O)S1)C(=O)O	0.800	70680443;70680444	PUBCHEMANNOTATIONBIO;PUBCHEM:(70680443 70680444)	16777218	140.962	29	0.485	836961171396290947	836961000222543875	836961000218349570	16	
1	1	-Infinity	-Infinity	-47.282	1.000	0.994	10.551	CHN2O3P	[M + Na]+	CHN2NaO3P+	QHFJSLSLEZTOTO	InChI=1S/CHN2O3P/c2-3-1-6-7(4)5/h1H/p+1	Diazomethoxy-hydroxy-oxophosphanium	C(=[N+]=[N-])O[P+](=O)O	-0.200	87236604;87236605	PUBCHEM:(87236604 87236605)	2	142.962	29	0.486	836961145706177234	836961000419676175	836961000415481870	19	
1	2	0.009	0.009	-25.892	0.126	0.097	16.213	C3H4OS2	[M + Na]+	C3H4NaOS2+	NJAQMVWDOPCNRC	InChI=1S/C3H4OS2/c1-2(5)3(4)6/h5H,1H2,(H,4,6)	2-sulfanylprop-2-enethioic S-acid	C=C(C(=O)S)S	1.200	154214565	PUBCHEM:(154214565)	2	142.959	29	0.489	836961149141312325	836961000478396435	836961000474202130	20	
1	1	0.169	0.169	-53.469	0.717	0.477	8.399	C4H3NO2S2	[M - H2O + H]+	C4H2NOS2+	UZWWFFJHMATGGR	InChI=1S/C4H3NO2S2/c6-3(7)2-1-9-4(8)5-2/h1H,(H,5,8)(H,6,7)	2-sulfanylidene-3H-1,3-thiazole-4-carboxylate	C1=C(NC(=S)S1)C(=O)O	0.600	21818421;153698772	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(21818421);PUBCHEM:(21818421 153698772);PUBMED	67108934	143.958	29	0.489	836961163196425884	836961000285458439	836961000285458438	17	
1	2	0.179	0.179	-51.614	0.475	0.500	12.821	C4H3NO2S2	[M - H2O + H]+	C4H2NOS2+	UZWWFFJHMATGGR	InChI=1S/C4H3NO2S2/c6-3(7)2-1-9-4(8)5-2/h1H,(H,5,8)(H,6,7)	2-sulfanylidene-3H-1,3-thiazole-4-carboxylate	C1=C(NC(=S)S1)C(=O)O	0.600	21818421;153698772	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(21818421);PUBCHEM:(21818421 153698772);PUBMED	67108934	143.957	29	0.490	836961150433158028	836961000348373003	836961000348373002	18	
