formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H20O4P	[M + Na]+	C8H20NaO4P+	0.995	0.999	50.041	50.041	0.000	14	0.255	3.631	4.084	-4.641		234.098	325	5.414	836961197317091980	836961018010588887	836961018010588886	454	
1	C18H28O2	[M + H3N + H]+	C18H32NO2+	1.000	0.333	257.925	253.979	3.946	56	0.851	0.087	1.204	0.015		294.243	326	5.434	836961197019296359	836961018081892063	836961018077697758	456	
1	C16H29N7O2	[M - H2O + H]+	C16H28N7O+	0.800	0.273	13.066	9.908	3.158	3	0.090	0.008	1.723	-53885.572		334.235	326	5.435	836961200454431717	836961018119640803	836961018115446498	457	
1	C20H42N2O4	[M - H2O + H]+	C20H41N2O3+	0.997	0.333	88.123	88.123	0.000	18	0.484	0.147	0.206	-50406.075		357.311	326	5.436	836961221941853449	836961018044143323	836961018044143322	455	
1	C16H35N4O4	[M - H2O + H]+	C16H34N4O3+	0.625	0.009	59.553	59.553	0.000	22	0.525	-0.027	0.324	-54530.163		330.264	326	5.440	836961214324996526	836961018149000935	836961018149000934	458	
1	C12H28B2N2O4S	[M + H3N + H]+	C12H32B2N3O4S+	0.992	0.500	88.916	88.916	0.000	22	0.417	-3.553	3.553	-4.736		334.235	327	5.446	836961200953553950	836961018287412983	836961018287412982	462	
1	C18H33NO3	[M - H2O + H]+	C18H32NO2+	0.997	0.302	54.646	54.646	0.000	12	0.210	0.207	0.311	-61209.868		294.243	328	5.461	836961206154491514	836961018220304111	836961018220304110	460	
1	C13H22O4	[M - H2O + H]+	C13H21O3+	0.571	0.500	161.271	157.689	3.583	25	0.640	1.350	2.287	-79994.155		225.149	329	5.483	836961202132153500	836961018186749675	836961018186749674	459	
1	C13H28O4	[M + H]+	C13H29O4+	1.000	1.000	47.187	47.187	0.000	9	0.207	0.039	0.134	-0.184		249.206	329	5.490	836961206653613712	836961018320967419	836961018320967418	463	
1	C33H42O8	[M + H3N + H]+	C33H46NO8+	0.485	0.333	47.937	41.060	6.877	14	0.629	0.284	0.646	0.781		584.322	330	5.494	836961199074505509	836961018258052851	836961018253858546	461	
