feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_compoundId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_group:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_group:GNPSGROUP:11	gnps_mn_ATTRIBUTE_group:GNPSGROUP:4	gnps_mn_ATTRIBUTE_group:GNPSGROUP:8	gnps_mn_ATTRIBUTE_group:GNPSGROUP:WT	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:A	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:B	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:C	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:D	gnps_mn_ATTRIBUTE_mutant:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_mutant:GNPSGROUP:xthA1	gnps_mn_ATTRIBUTE_mutant:GNPSGROUP:xthB1	gnps_mn_ATTRIBUTE_mutant:GNPSGROUP:xthA2	gnps_mn_ATTRIBUTE_mutant:GNPSGROUP:WT	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
1																																																																																																																																																									158.00301815286383	0.39484534	0	275848.1275	279777.65	263340.6	270013.645	0	276714.2525	268282.2725	274854.995	269128.5025	0	275848.1275	279777.65	263340.6	270013.645	98		
2	sirius	1.0	canopus	canopus	canopus	1.0	C6H14F3N3	[M + K]+	C6H14F3KN3+	Alkaloids	0.714	Nicotinic acid alkaloids	0.077	Polyamines	0.086	Organohalogen compounds	0.985	Alkyl halides	0.986	Alkyl fluorides	0.983			Alkyl fluorides	0.983	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	224.076	24.0	0.407	8.369611460668874e+17	8.369609989894185e+17	8.369609989810299e+17																																																																																															1.0	1.0	0.029	0.029	-96.28	0.999	0.999	18.205	C6H14F3N3	[M + K]+	C6H14F3KN3+	NLKVTFIRFAXIAP	InChI=1S/C6H14F3N3/c1-2-3-12-5(7,8)4-6(9,10)11/h12H,2-4,10-11H2,1H3	1,3,3-trifluoro-3-N-propylpropane-1,1,3-triamine	CCCNC(CC(N)(N)F)(F)F	0.4	141261126	PUBCHEM:(141261126)	2.0	224.076	24.0	0.407	8.369611460668874e+17	8.369609989894185e+17	8.369609989810299e+17		224.0760687192321	0.40115556	0	522015.0525	551179.765	525398.5525	532548.0249999999	0	533039.1	537842.525	532437.46	527822.31	0	522015.0525	551179.765	525398.5525	532548.0249999999	61		
3																																																																																																																																																									266.1230192263711	0.39829108	0	942076.05	980981.9625	967536.57	969952.3275	0	948317.5775	984582.26	994457.8475	933189.225	0	942076.05	980981.9625	967536.57	969952.3275	61		
4	gnps & sirius	1.0	canopus & gnps	canopus & gnps	canopus & gnps	1.0	C8H18N2	[M + H3N + H]+	C8H22N3+	Alkaloids	0.781	Pseudoalkaloids (transamidation)	0.406	Acetate-derived alkaloids	0.802	Organic nitrogen compounds	1.0	Organonitrogen compounds	1.0	Amines	0.777			Amines	0.777	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	160.181	28.0	0.469	8.369611391043427e+17	8.369609992410767e+17	8.369609992368824e+17		CCMSLIB00016338526	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.781419	1009030.0	0.0	523.727	6.0	0.083847	160.181	0.0	temp/spectra_filtered.mgf4	1.0	Candidate Valine-C2:0 (delta mass:42.0104)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	160.097	160.097	0.0			CC(=O)NC(C(=O)O)C(C)C	InChI=1S/C7H13NO3/c1-4(2)6(7(10)11)8-5(3)9/h4,6H,1-3H3,(H,8,9)(H,10,11)		4.0	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	160.097	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C7H13NO3	IHYJTAOFMMMOPX-UHFFFAOYSA-N	IHYJTAOFMMMOPX	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016338526																																																	1.0	1.0	0.098	0.098	-46.989	1.0	0.5	25.131	C8H18N2	[M + H3N + H]+	C8H22N3+	PXZQKOBVOJEWOH	InChI=1S/C8H18N2/c9-5-1-2-6-10-7-8-3-4-8/h8,10H,1-7,9H2	N'-(cyclopropylmethyl)butane-1,4-diamine	C1CC1CNCCCCN	0.3	60893628	PUBCHEM:(60893628)	2.0	160.181	28.0	0.469	8.369611391043427e+17	8.369609992410767e+17	8.369609992368824e+17		160.18084317334657	0.44229648	0	29810419.3125	983345.8175	59883459.4125	24321068.46	0	30153434.85	437408.4275	54124863.665	30282586.06	0	29810419.3125	983345.8175	59883459.4125	24321068.46	7	4.0	Candidate Valine-C2:0 (delta mass:42.0104)
5	sirius	1.0	canopus	canopus	canopus	1.0	C6H9O4P	[M + Na]+	C6H9NaO4P+	Fatty acids	0.585	Monoterpenoids	0.047	Halogenated fatty acids	0.009	Organic acids and derivatives	0.812	Organic phosphonic acids and derivatives	0.626					Organic phosphonic acids and derivatives	0.626	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	199.013	28.0	0.47	8.369611474174533e+17	8.369609994214318e+17	8.369609994172375e+17																																																																																															1.0	1.0	0.16	0.16	-60.016	1.0	1.0	56.819	C6H9O4P	[M + Na]+	C6H9NaO4P+	SVFGYYHVGLDSPE	InChI=1S/C6H9O4P/c1-2-3-4-5-6-10-11(7,8)9/h4-5H,6H2,1H3,(H2,7,8,9)	SVFGYYHVGLDSPE	CC#CC=CCOP(=O)(O)O	0.432		LotusExpanded	8589934592.0	199.013	28.0	0.47	8.369611474174533e+17	8.369609994214318e+17	8.369609994172375e+17		199.0131571064544	0.4703219	0	715961.315	746638.8275	811727.875	775947.355	0	810557.765	713862.905	782842.8125	743011.89	0	715961.315	746638.8275	811727.875	775947.355	123		
6	gnps	1.0	gnps	gnps	gnps																													CCMSLIB00005463985	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.938083	7035440.0	0.0	1360.78	6.0	0.198898	145.966	1.0	temp/spectra_filtered.mgf6	1.0	SPERMIDINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	146.165	145.158	1.0	124-20-9		NCCCCNCCCN	"""InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2"""		1.0	Positive	GNPS-MSMLS	146.165	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H19N3	ATHGHQPFGPMSJY-UHFFFAOYSA-N	ATHGHQPFGPMSJY	Organic nitrogen compounds	Organonitrogen compounds	Amines	Ornithine alkaloids	Polyamines	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463985																																																																											145.966088920367	0.47070742	0	1145113.0	1116571.4	1149935.925	1149360.55	0	1144588.125	1119160.925	1100906.05	1196325.775	0	1145113.0	1116571.4	1149935.925	1149360.55	7	6.0	SPERMIDINE
7																																																																																																																																																									220.03926295805977	0.475112	0	916796.165	960645.1225	997237.4375	1160675.825	0	957726.8225	977180.275	1036099.8525	1064347.6	0	916796.165	960645.1225	997237.4375	1160675.825	59		
8																																																																																																																																																									202.01175881989727	0.47110495	0	591083.075	550062.0025	593651.14	707736.0	0	649927.46	598876.215	614648.8425	579079.7	0	591083.075	550062.0025	593651.14	707736.0	65		
9	sirius	1.0	canopus	canopus	canopus	1.0	C3H6O5S	[M + H]+	C3H7O5S+	Fatty acids	0.841	Fatty Acids and Conjugates	0.753	Dicarboxylic acids	0.145	Organosulfur compounds	0.872	Sulfonyls	0.513					Sulfonyls	0.513	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.003	28.0	0.472	8.36961146847028e+17	8.369609997443932e+17	8.369609997443932e+17																																																																																															1.0	1.0	0.041	0.041	-41.75	0.741	0.5	48.121	C3H6O5S	[M + H]+	C3H7O5S+	BKEZNIFOORQAPK	InChI=1S/C3H6O5S/c4-2(3(5)6)1-9(7)8/h2,4H,1H2,(H,5,6)(H,7,8)	2-Hydroxy-3-sulfinopropanoic acid	C(C(C(=O)O)O)S(=O)O	-1.7	13120911	LotusExpanded;PUBCHEM:(13120911)	8589934594.0	155.003	28.0	0.472	8.36961146847028e+17	8.369609997443932e+17	8.369609997443932e+17		155.00286979511992	0.4722139	0	3800744.075	3762273.325	4146235.8	3977734.075	0	3848928.325	3885670.475	4041343.525	3911044.95	0	3800744.075	3762273.325	4146235.8	3977734.075	22		
10	sirius	1.0	canopus	canopus	canopus	1.0	C8H11ClFNO	[M + Na]+	C8H11ClFNNaO+	Alkaloids	0.489	Small peptides	0.124	Halogenated fatty acids	0.435	Benzenoids	0.15	Benzene and substituted derivatives	0.329	Halobenzenes	0.605			Halobenzenes	0.605	Organic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Organochlorides; Organofluorides; Aryl halides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.04	30.0	0.5	8.369611449889512e+17	8.369609998073078e+17	8.369609998073078e+17																																																																																															1.0	1.0	0.064	0.064	-126.013	0.971	0.975	23.591	C8H11ClFNO	[M + Na]+	C8H11ClFNNaO+	DXVKLULMQBKMJB	InChI=1S/C8H11ClFNO/c1-12-7-3-2-6(9)5(4-11)8(7)10/h2-3,5,8H,4,11H2,1H3	[(6S)-2-chloro-6-fluoro-5-methoxycyclohexa-2,4-dien-1-yl]methanamine	COC1=CC=C(C(C1F)CN)Cl	1.0	89721790	PUBCHEM:(89721790)	2.0	214.04	30.0	0.5	8.369611449889512e+17	8.369609998073078e+17	8.369609998073078e+17		214.04002046215464	0.47197726	0	500058.265	461492.2725	477431.705	537593.54	0	534526.215	472937.52	463081.9925	506030.055	0	500058.265	461492.2725	477431.705	537593.54	90		
