feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
1034	VMLNPJDEXLLCQG	gnps	CC1C(O1)C2=CC(OC2=O)C(C)O	CCMSLIB00011906249	spectra_filtered.mgf	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	0.896359	1399750.0	0.0	1037.06	7.0	0.19194	184.889	0.0	temp/spectra_filtered.mgf1034	1.0	Asperlactone	ESI	Orbitrap	Isolated	Daniel Petras	"""Giovanni Andrea Vitale, Christian Geibel"""	M+H	185.081	184.074	1.0			CC1C(O1)C2=CC(OC2=O)C(C)O	InChI=1S/C9H12O4/c1-4(10)7-3-6(9(11)13-7)8-5(2)12-8/h3-5,7-8,10H,1-2H3		1.0	Positive	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	185.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H12O4	VMLNPJDEXLLCQG-UHFFFAOYSA-N	Organoheterocyclic compounds	Dihydrofurans	Furanones	Cyclic polyketides		Polyketides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00011906249																																																																								
1035	PSSCJQGNYRMUOY	sirius	CC(=CCC(=CCC(=CCC(=CCC(=CCC(=CCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C																																																																																												1.0	2.0	0.088	0.088	-169.686	0.029	0.5	74.573	C35H50O2	[M + H]+	C35H51O2+	InChI=1S/C35H50O2/c1-26(2)12-13-27(3)14-15-28(4)16-17-29(5)18-19-30(6)20-21-31(7)22-23-32(8)24-25-33-10-9-11-34(36)35(33)37/h9-12,14,16,18,20,22,24,36-37H,13,15,17,19,21,23,25H2,1-8H3		CC(=CCC(=CCC(=CCC(=CCC(=CCC(=CCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C	10.577		MiMeDB:(MMDBc0031883)	1073741824.0	503.389	620.0	10.334	8.369613358297997e+17	8.369610383739372e+17	8.369610383739372e+17	
1035	YNZLNLFQHPBQNE	isdb																																														-1.0							1.0	0.32832965	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	1.3133186101913452	1.0																									
1036	MWRBNPKJOOWZPW	isdb	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC																																													15.0	Fatty acids	0.4375	Glycerophospholipids	0.4375	Glycerophosphoethanolamines	0.4375	3.0	0.66662955	ISDB	http://www.wikidata.org/entity/Q27158112	MWRBNPKJOOWZPW-GPADLTIESA-N	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17+,20-18+/t39-/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC	C41H78NO8P		743.546505086	18:1 (Delta9-Trans) PE, 1,2-dielaidoyl-sn-glycero-3-phosphoethanolamine, chloroform	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q2557995	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']											0.0	3.0	4.166518211364746	1.0																									
1036	QUZBMXRRADSTRM	sirius	CCCCCCCCCCCCCCCCCC(=O)OC(COC(CCCCCCCCCCCCCCC)O)COP(=O)(O)OCCN																																																																																												1.0	1.0	-inf	-inf	-347.629	0.936	0.824	51.15	C39H80NO8P	[M + Na]+	C39H80NNaO8P+	InChI=1S/C39H80NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h37-38,41H,3-36,40H2,1-2H3,(H,43,44)	[(2R)-1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-(1-hydroxyhexadecoxy)propan-2-yl] octadecanoate	CCCCCCCCCCCCCCCCCC(=O)OC(COC(CCCCCCCCCCCCCCC)O)COP(=O)(O)OCCN	11.2	129900223	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(129900223)	16777218.0	744.554	618.0	10.299	8.369613335774583e+17	8.369610384074916e+17	8.369610384074916e+17	
1037	CAZNWFTVRTWCKD	sirius	CCCCCC=CCC=CCCCCCCCC(=O)OC(COC1C(C(C(C(O1)CS(=O)(=O)O)O)O)O)COC(=O)CCCCCCCC=CCC=CCC=CCC																																																																																												1.0	1.0	0.66	0.66	-310.129	1.0	1.0	143.217	C45H76O12S	[M + H3N + H]+	C45H80NO12S+	InChI=1S/C45H76O12S/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(46)54-35-38(36-55-45-44(50)43(49)42(48)39(57-45)37-58(51,52)53)56-41(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5,7,11-14,17-20,38-39,42-45,48-50H,3-4,6,8-10,15-16,21-37H2,1-2H3,(H,51,52,53)		CCCCCC=CCC=CCCCCCCCC(=O)OC(COC1C(C(C(C(O1)CS(=O)(=O)O)O)O)O)COC(=O)CCCCCCCC=CCC=CCC=CCC	9.7	163122623;134723136;133042463	COCONUT:(CNP0440541);SUPERNATURAL:(SN0040859);PUBCHEM:(163122623 134723136 133042463)	3145730.0	858.54	621.0	10.349	8.369612770298486e+17	8.36961038441046e+17	8.36961038441046e+17	
1038	QTRKUSUMWYTXSD	sirius	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C(C)=C\CCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C																																																																																												1.0	1.0	0.174	0.174	-401.594	1.0	1.0	19.706	C45H86NO8P	[M + H]+	C45H87NO8P+	InChI=1S/C45H86NO8P/c1-7-9-11-13-15-16-17-18-19-20-21-22-24-28-33-37-45(48)54-43(41-53-55(49,50)52-39-38-46(4,5)6)40-51-44(47)36-32-29-25-27-31-35-42(3)34-30-26-23-14-12-10-8-2/h18-19,34,43H,7-17,20-33,35-41H2,1-6H3/p+1	QTRKUSUMWYTXSD	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C(C)=C\CCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C	12.951		LotusExpanded	8589934592.0	800.617	622.0	10.368	8.369612842230804e+17	8.369610384746004e+17	8.369610384746004e+17	
1040	VKWFSMWMXKFQPS	sirius	CC1=C(C(=O)N2C(CN(C2=C1CC3=C(C=CC=C3F)C(F)(F)F)C(=O)O)C(C4=CC=CC=C4)NCC#N)C5=C(C(=CC=C5)OC)F																																																																																												1.0	11.0	0.007	0.007	-361.3	0.012	0.033	8.574	C33H27F5N4O4	[M + H3N + H]+	C33H31F5N5O4+	InChI=1S/C33H27F5N4O4/c1-18-21(16-22-23(33(36,37)38)11-7-12-24(22)34)30-41(32(44)45)17-25(29(40-15-14-39)19-8-4-3-5-9-19)42(30)31(43)27(18)20-10-6-13-26(46-2)28(20)35/h3-13,25,29,40H,15-17H2,1-2H3,(H,44,45)	3-[(Cyanomethylamino)-phenylmethyl]-6-(2-fluoro-3-methoxyphenyl)-8-[[2-fluoro-6-(trifluoromethyl)phenyl]methyl]-7-methyl-5-oxo-2,3-dihydroimidazo[1,2-a]pyridine-1-carboxylic acid	CC1=C(C(=O)N2C(CN(C2=C1CC3=C(C=CC=C3F)C(F)(F)F)C(=O)O)C(C4=CC=CC=C4)NCC#N)C5=C(C(=CC=C5)OC)F	2.6	123401488	PUBCHEM:(123401488)	2.0	656.226	621.0	10.358	8.369613338710596e+17	8.369610385459036e+17	8.369610385459036e+17	
1043	VAORTEVIGBSMLI	sirius	CC(C)CCCNC(=O)NCCOCCOCCOCCNC(=O)CCCCC1C2C(CC(=O)N2)CS1																																																																																												1.0	6.0	0.029	0.029	-394.824	0.067	0.062	37.943	C26H48N4O6S	[M + H3N + H]+	C26H52N5O6S+	InChI=1S/C26H48N4O6S/c1-20(2)6-5-9-28-26(33)29-11-13-35-15-17-36-16-14-34-12-10-27-23(31)8-4-3-7-22-25-21(19-37-22)18-24(32)30-25/h20-22,25H,3-19H2,1-2H3,(H,27,31)(H,30,32)(H2,28,29,33)	N-[2-[2-[2-[2-(4-methylpentylcarbamoylamino)ethoxy]ethoxy]ethoxy]ethyl]-5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-b]pyrrol-6-yl)pentanamide	CC(C)CCCNC(=O)NCCOCCOCCOCCNC(=O)CCCCC1C2C(CC(=O)N2)CS1	1.1	153013853	PUBCHEM:(153013853)	2.0	562.366	625.0	10.412	8.369613295509262e+17	8.369610386507612e+17	8.369610386507612e+17	
1044	OXMOEZMESDNNGK	sirius	CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC1CC1CCCCCC																																																																																												1.0	1.0	0.67	0.67	-349.892	1.0	1.0	18.523	C37H72NO8P	[M + Na]+	C37H72NNaO8P+	InChI=1S/C37H72NO8P/c1-3-5-7-9-10-11-12-13-14-15-18-22-26-36(39)43-31-35(32-45-47(41,42)44-29-28-38)46-37(40)27-23-19-16-17-21-25-34-30-33(34)24-20-8-6-4-2/h33-35H,3-32,38H2,1-2H3,(H,41,42)	1-pentadecanoyl-2-(9R, 10S-methylene-hexadecanoyl)-sn-glycero-3-phosphoethanolamine	CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC1CC1CCCCCC	9.5	131841375	MiMeDB:(MMDBc0030420);LIPIDMAPS:(LMGP02011268);PUBCHEM:(131841375)	3221225474.0	712.489	624.0	10.406	8.369612869074351e+17	8.369610386843156e+17	8.369610386843156e+17	
