feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
10	1.0	0.22454588	ISDB	http://www.wikidata.org/entity/Q75067974	XXMBGIMQDWOUJW-YVULUBTBSA-N	InChI=1S/C41H77NO9/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-34(44)33(32-50-41-39(48)38(47)37(46)36(31-43)51-41)42-40(49)35(45)30-28-26-24-22-19-16-14-12-10-8-6-4-2/h18,20,25,27,33-39,41,43-48H,3-17,19,21-24,26,28-32H2,1-2H3,(H,42,49)/b20-18-,27-25+	CCCCCCCCC/C=C\CC/C=C/CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCCC	C41H77NO9	nan	727.559833044	Deformin	XXMBGIMQDWOUJW	Fatty acids	Sphingolipids	Neutral glycosphingolipids	http://www.wikidata.org/entity/Q104096663	Yarrowia deformans	5298917.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Dipodascaceae']	['Unknown']	['Yarrowia']	['Yarrowia deformans']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.8981835246086121	1	78	Terpenoids	0.14285714285714285	Meroterpenoids	0.14285714285714285	Prenyl quinone meroterpenoids	0.14285714285714285
100	4.0	0.3062531	ISDB	http://www.wikidata.org/entity/Q77384529	CAUQHAIJBWAQIL-PTZVLDCSSA-N	InChI=1S/C18H31NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(20)19-16-14-15-22-18(16)21/h7-8,16H,2-6,9-15H2,1H3,(H,19,20)/b8-7-/t16-/m0/s1	CCCCCC/C=C\CCCCCC(=O)N[C@H]1CCOC1=O	C18H31NO3	nan	309.230393852	(3S)-3-[[(Z)-7-Tetradecenoyl]amino]tetrahydrofuran-2-one	CAUQHAIJBWAQIL	Fatty acids	Fatty amides	Fatty acyl homoserine lactones	http://www.wikidata.org/entity/Q6824039	Methylobacterium extorquens	489046.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Alphaproteobacteria']	['Rhizobiales']	['Methylobacteriaceae']	['Unknown']	['Methylobacterium']	['Methylorubrum extorquens']	nan	['Bacteria']	nan	['Proteobacteria']	['Alphaproteobacteria']	['Rhizobiales']	nan	nan	nan	nan	4	2	6.225012421607971	1	11	Fatty acids	0.49230769230769234	Fatty amides	0.3076923076923077	N-acyl amines	0.26153846153846155
101	1.0	0.44806913	ISDB	http://www.wikidata.org/entity/Q105298904	VYEFYAVFLNSXSK-NXOAAHMSSA-N	InChI=1S/C18H35NO4/c1-14(20)17-12-11-15(19-17)9-7-5-3-2-4-6-8-10-16(21)13-18(22)23/h14-17,19-21H,2-13H2,1H3,(H,22,23)/t14-,15-,16+,17-/m0/s1	C[C@H](O)[C@@H]1CC[C@H](CCCCCCCCC[C@@H](O)CC(=O)O)N1	C18H35NO4	nan	329.2566086	Morusimic acid B	VYEFYAVFLNSXSK	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids	http://www.wikidata.org/entity/Q157307	Morus alba	658488.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Moraceae']	['Unknown']	['Morus']	['Morus alba']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.7922765016555786	1	11	Fatty acids	0.49230769230769234	Fatty amides	0.3076923076923077	N-acyl amines	0.26153846153846155
1019	1.0	0.88667595	ISDB	http://www.wikidata.org/entity/Q75057180	JUBMQTLADMVYAC-UHFFFAOYSA-N	InChI=1S/C11H13NO3/c1-5-8(13)4-7-6(2)12-11(14)9(7)10(5)15-3/h4,6,13H,1-3H3,(H,12,14)	COc1c(C)c(O)cc2c1C(=O)NC2C	C11H13NO3	nan	207.089543276	Mariline C	JUBMQTLADMVYAC	Alkaloids	Pseudoalkaloids	Isoindole alkaloids	http://www.wikidata.org/entity/Q10676914	Stachylidium	420577.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Glomerellales']	['Plectosphaerellaceae']	['Unknown']	['Stachylidium']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	5.046703815460205	1	18	Alkaloids	0.1875	Pseudoalkaloids	0.1875	Isoindole alkaloids	0.1875
103	1.0	0.25551027	ISDB	http://www.wikidata.org/entity/Q104964550	CMHLWFDIUYEHTJ-UHFFFAOYSA-N	InChI=1S/C18H33NO5/c20-12-8-10-14(22)9-6-4-2-1-3-5-7-11-15-17(23)18(24)16(13-21)19-15/h16-18,20-21,23-24H,1-13H2	O=C(CCCO)CCCCCCCCCC1=NC(CO)C(O)C1O	C18H33NO5	nan	343.235873156	13-[3,4-dihydroxy-2-(hydroxymethyl)-3,4-dihydro-2H-pyrrol-5-yl]-1-hydroxytridecan-4-one	CMHLWFDIUYEHTJ	nan	nan	nan	http://www.wikidata.org/entity/Q389185	Broussonetia papyrifera	311274.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Moraceae']	['Unknown']	['Broussonetia']	['Broussonetia papyrifera']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.0220410823822021	1	-1	nan	nan	nan	nan	nan	nan
1035	3.0	0.21839845	ISDB	http://www.wikidata.org/entity/Q110188242	FCFXHAVNZIHNQN-UHFFFAOYSA-N	InChI=1S/C9H15N3O6/c1-4(10)7(14)11-6(9(16)17)5(2-3-13)8(15)12-18/h3-6,18H,2,10H2,1H3,(H,11,14)(H,12,15)(H,16,17)	CC(N)C(=O)NC(C(=O)O)C(CC=O)C(=O)NO	C9H15N3O6	nan	261.0960852	Alahopcin	FCFXHAVNZIHNQN	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q22286871	Streptomyces albulus	965615.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces albulus']	nan	['Bacteria']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.373593807220459	1	36	Alkaloids	0.15384615384615385	Peptide alkaloids	0.15384615384615385	Dipeptides	0.07692307692307693
1040	1.0	0.22370817	ISDB	http://www.wikidata.org/entity/Q27145047	CCIXZFJYFQJTGK-NSHDSACASA-N	InChI=1S/C13H13NO4/c15-10-4-1-9(2-5-10)3-6-12(16)14-11-7-8-18-13(11)17/h1-6,11,15H,7-8H2,(H,14,16)/t11-/m0/s1	O=C(C=Cc1ccc(O)cc1)N[C@H]1CCOC1=O	C13H13NO4	nan	247.084457896	3-(4-hydroxyphenyl)-N-[(3S)-2-oxooxolan-3-yl]prop-2-enamide	CCIXZFJYFQJTGK	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q309852	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.8948326706886292	1	36	Alkaloids	0.15384615384615385	Peptide alkaloids	0.15384615384615385	Dipeptides	0.07692307692307693
1045	1.0	0.7930034	ISDB	http://www.wikidata.org/entity/Q418834	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	NCCCCNCCCN	C7H19N3	nan	145.15789760799998	Spermidine	ATHGHQPFGPMSJY	Alkaloids	Ornithine alkaloids	Polyamines	http://www.wikidata.org/entity/Q25419	Escherichia coli	474506.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Enterobacteriales']	['Enterobacteriaceae']	['Unknown']	['Unknown']	['Escherichia coli']	nan	['Bacteria']	nan	['Proteobacteria']	nan	nan	nan	nan	nan	nan	2	1	5.672013521194458	1	2	Alkaloids	0.18666666666666668	Small peptides	0.14666666666666667	Aminoacids	0.13333333333333333
1047	1.0	0.5358661	ISDB	http://www.wikidata.org/entity/Q82297534	BKFIQORTLXDLHQ-UHFFFAOYSA-N	InChI=1S/C10H6O5/c11-6-3-5-1-2-7(12)15-8(5)10-9(6)13-4-14-10/h1-3,11H,4H2	O=c1ccc2cc(O)c3c(c2o1)OCO3	C10H6O5	nan	206.021523292	8H-1,3-Dioxolo[4,5-h][1]benzopyran-8-one, 4-hydroxy-	BKFIQORTLXDLHQ	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins	http://www.wikidata.org/entity/Q5763748	Artemisia capillaris	361562.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia capillaris']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	3.6434643268585205	1	40	Shikimates and Phenylpropanoids	1.0	Coumarins	1.0	Simple coumarins	0.6666666666666666
1048	2.0	0.29844463	ISDB	http://www.wikidata.org/entity/Q27098253	KYOBSHFOBAOFBF-XVFCMESISA-N	InChI=1S/C10H13N2O11P/c13-5-1-3(9(16)17)12(10(18)11-5)8-7(15)6(14)4(23-8)2-22-24(19,20)21/h1,4,6-8,14-15H,2H2,(H,16,17)(H,11,13,18)(H2,19,20,21)/t4-,6-,7-,8-/m1/s1	O=C(O)c1cc(O)nc(=O)n1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	C10H13N2O11P	nan	368.025695866	Orotidine-5'-monophosphate	KYOBSHFOBAOFBF	Carbohydrates	nan	nan	http://www.wikidata.org/entity/Q25419	Escherichia coli	474506.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Enterobacteriales']	['Enterobacteriaceae']	['Unknown']	['Unknown']	['Escherichia coli']	nan	['Bacteria']	nan	['Proteobacteria']	nan	nan	nan	nan	nan	nan	2	1	3.6937785148620605	1	79	Carbohydrates	1.0	nan	nan	nan	nan
