feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
1032	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.53010994	ISDB							ZPEIQUBUKPWTCI						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.1204397678375244
1031	-1				0.6521385	ISDB							UKYVLSVBMYBYJM						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.608553886413574
1023	74	Terpenoids	Steroids	Cholestane steroids	0.27529502	ISDB	NACRYBSGHPQZTL-UVYZFVDISA-N	InChI=1S/C28H40O3/c1-17(2)7-8-18(3)23-11-12-24-22-10-9-20-15-21(30)13-14-27(20,5)25(22)16-26(28(23,24)6)31-19(4)29/h7-8,13-15,17-18,22-26H,9-12,16H2,1-6H3/b8-7+/t18-,22-,23+,24-,25-,26+,27-,28+/m0/s1	CC(=O)O[C@@H]1C[C@H]2[C@@H](CCC3=CC(=O)C=C[C@@]32C)[C@@H]2CC[C@H]([C@@H](C)/C=C/C(C)C)[C@@]12C	C28H40O3		424.29774514	NACRYBSGHPQZTL	Terpenoids	Steroids	Cholestane steroids	Gersemia rubiformis	463880.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Gersemia']	['Gersemia rubiformis']	0	3	2.601180076599121
1021	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.658111	ISDB	MWRBNPKJOOWZPW-GPADLTIESA-N	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17+,20-18+/t39-/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC	C41H78NO8P		743.546505086	MWRBNPKJOOWZPW	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']	0	3	4.132443904876709
1021	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.658111	ISDB	MWRBNPKJOOWZPW-GPADLTIESA-N	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17+,20-18+/t39-/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC	C41H78NO8P		743.546505086	MWRBNPKJOOWZPW	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	Lysiphlebia japonica	697724.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Braconidae']	['Unknown']	['Lysiphlebia']	['Lysiphlebia japonica']	0	3	4.132443904876709
1020	44	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.36118189	ISDB	XUYKACVIVNMPKZ-YXRUNKGDSA-N	InChI=1S/C46H78O3/c1-10-11-12-13-14-15-16-17-18-19-20-21-22-23-40(48)49-39-32-38(47)46(9)36(42(39,4)5)26-27-45(8)37(46)25-24-34-35-33-41(2,3)28-29-43(35,6)30-31-44(34,45)7/h24-25,35-36,38-39,47H,10-23,26-33H2,1-9H3/t35-,36-,38+,39-,43+,44+,45+,46-/m0/s1	CCCCCCCCCCCCCCCC(=O)O[C@H]1C[C@@H](O)[C@]2(C)C3=CC=C4[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C	C46H78O3		678.595096356	XUYKACVIVNMPKZ	Terpenoids	Triterpenoids	Oleanane triterpenoids	Saussurea ussuriensis	5739495.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Cardueae']	['Saussurea']	['Saussurea ussuriensis']	0	3	2.9447275400161743
1018	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.5176033	ISDB							ZPEIQUBUKPWTCI						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.070413112640381
1014	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.64033043	ISDB	LYJWNHGFGVVCAO-IEHWZJNJSA-N	InChI=1S/C39H76NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h13,15,37H,3-12,14,16-36,40H2,1-2H3,(H,43,44)/b15-13-/t37-/m1/s1	CCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C39H76NO8P		717.530855022	LYJWNHGFGVVCAO	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	0	3	4.06132173538208
1008	44	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.2354457	ISDB							GTXGQQPQOYAJJE						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	0.9417827725410461
1007	15	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.47926277	ISDB							LKIXPFWTPURWGW						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.917051076889038
