CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
775	793	6	0.7421	-15.995
793	812	6	0.905	-0.000
775	812	6	0.7698	-15.995
6	231	7	0.9154	-0.094
116	231	7	0.9347	-0.094
142	231	7	0.9249	0.105
145	231	7	0.8855	15.124
147	231	7	0.8781	15.118
159	231	7	0.9306	-0.094
163	231	7	0.9315	-0.094
175	231	7	0.9447	-0.094
177	231	7	0.8896	15.118
224	231	7	0.9362	0.058
68	128	7	0.8999	0.000
74	128	7	0.8431	14.016
128	133	7	0.8434	0.011
128	158	7	0.8603	-0.036
68	158	7	0.8883	-0.036
74	158	7	0.8521	13.979
132	158	7	0.8429	13.979
145	158	7	0.8444	-13.012
4	297	7	0.7796	5.074
85	86	7	0.8719	-43.023
86	87	7	0.9429	1.997
86	89	7	0.8459	25.013
86	931	7	0.7965	109.882
86	946	7	0.8014	109.882
4	143	7	0.7758	17.027
19	143	7	0.8378	-0.192
20	143	7	0.8378	-0.195
46	143	7	0.987	0.000
140	143	7	0.8345	-0.199
143	225	7	0.9692	0.047
16	19	7	0.782	-2.000
19	20	7	1.0	0.003
19	46	7	0.8992	-0.192
19	140	7	0.9918	0.006
19	225	7	0.9344	-0.145
16	140	7	0.7704	-1.993
20	140	7	0.9918	0.004
46	140	7	0.8837	0.199
140	225	7	0.9298	-0.151
21	23	7	0.8127	-41.026
21	83	7	0.8741	-0.105
21	169	7	0.9753	-2.122
21	182	7	0.9745	-2.122
85	946	7	0.8071	66.859
87	946	7	0.7817	107.885
23	802	7	0.7978	-2.184
358	802	7	0.8672	-0.096
518	802	7	0.8657	-0.036
796	802	7	0.9201	0.000
85	87	7	0.8893	-41.026
85	89	7	0.8363	-18.011
85	240	7	0.8052	81.719
85	358	7	0.7628	84.753
85	518	7	0.8654	84.693
85	931	7	0.7875	66.859
825	1002	7	0.8214	0.000
6	56	7	0.9822	-0.199
6	63	7	0.9215	-14.215
6	116	7	0.9957	0.000
6	142	7	0.9961	-0.199
6	146	7	0.9039	-14.215
6	156	7	0.8934	-14.207
6	159	7	0.9938	-0.000
6	163	7	0.9956	-0.000
6	175	7	0.9879	-0.000
68	74	7	0.9164	-14.016
74	132	7	0.9718	0.000
58	224	7	0.8689	15.066
116	224	7	0.8994	-0.152
