cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT
495	334.2351009605829	5.8342137	0	255975.395	444208.8075	300285.0425	443306.32	0	379572.28	299843.1375	397607.12	366753.02749999997	0	255975.395	444208.8075	300285.0425	443306.32
496	294.2427348357814	5.834505	0	408275.1125	643953.1	469289.79000000004	592072.88	0	516873.7925	512830.82999999996	566998.91	516887.35	0	408275.1125	643953.1	469289.79000000004	592072.88
497	312.2531577048322	5.834302	0	433125.9675	695441.895	553034.1035	636348.7275	0	556662.38	557727.3375	616512.3425	587048.6335	0	433125.9675	695441.895	553034.1035	636348.7275
498	143.95903492360898	5.861638	0	277747.6325	348427.0525	205602.44	282426.9275	0	295232.20499999996	298706.81	224966.615	295298.4225	0	277747.6325	348427.0525	205602.44	282426.9275
499	252.12301481511108	5.840567	0	163291.7875	227538.245	214835.425	210210.76750000002	0	165316.5	212261.09	217569.71	220728.925	0	163291.7875	227538.245	214835.425	210210.76750000002
500	332.2194485496812	5.8459973	0	149432.2275	208421.6225	88497.6325	213276.58000000002	0	181794.65000000002	175451.3275	120097.3925	182284.6925	0	149432.2275	208421.6225	88497.6325	213276.58000000002
501	292.22703575997707	5.84768	0	150361.8425	172269.36	83678.82	228216.555	0	160019.175	159524.0325	143777.4775	171205.8925	0	150361.8425	172269.36	83678.82	228216.555
502	310.2375234111408	5.8475704	0	115211.1375	207446.76249999998	96311.8825	219636.1025	0	173518.27	184119.8025	96311.8825	184655.93	0	115211.1375	207446.76249999998	96311.8825	219636.1025
503	449.1489410686541	5.871483	0	211628.7625	275117.6075	227695.8275	125582.98999999999	0	193415.5125	131066.39249999999	244578.9925	270964.29	0	211628.7625	275117.6075	227695.8275	125582.98999999999
504	272.25839554395515	5.8737755	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
505	296.2947601331388	5.9000044	0	0.0	181987.3475	0.0	0.0	0	54673.53	50297.2775	38490.485	38526.055	0	0.0	181987.3475	0.0	0.0
506	326.30549554129107	5.896891	0	0.0	209657.09	0.0	0.0	0	63294.54	57227.68	47350.62	41784.25	0	0.0	209657.09	0.0	0.0
507	221.2264080088705	5.8978615	0	0.0	331003.5425	0.0	0.0	0	98321.97	83158.55	77622.2575	71900.765	0	0.0	331003.5425	0.0	0.0
508	172.67123231250238	5.8992777	0	0.0	674891.32	0.0	0.0	0	201646.235	178707.15	153609.825	140928.11	0	0.0	674891.32	0.0	0.0
509	296.25839163396074	5.908327	0	94664.435	164625.75	94465.825	155075.175	0	142712.415	120705.92	94465.825	150947.025	0	94664.435	164625.75	94465.825	155075.175
510	325.3212205559469	5.9160395	0	42102.265	8152478.625	30172.8525	36345.015	0	2441770.25	2144409.765	1907597.2275	1767321.515	0	42102.265	8152478.625	30172.8525	36345.015
511	343.3318631650809	5.9135127	0	42392.96	7978671.0	0.0	34958.21	0	2398184.75	2101003.46	1860616.875	1696217.085	0	42392.96	7978671.0	0.0	34958.21
512	262.1437785205197	5.924237	0	258798.215	253196.33000000002	255118.4875	255173.95750000002	0	253385.25	257134.2575	269058.21	242709.2725	0	258798.215	253196.33000000002	255118.4875	255173.95750000002
513	415.2114814142389	5.943798	0	143782.46000000002	137452.14	93257.20749999999	132434.8	0	137172.395	84862.1875	158689.7125	126202.3125	0	143782.46000000002	137452.14	93257.20749999999	132434.8
514	584.3221402298675	5.9528637	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
515	288.2896518531606	5.970138	0	181309.679	172461.3475	238855.7725	163097.73249999998	0	158715.3575	186550.864	182072.13999999998	228386.16999999998	0	181309.679	172461.3475	238855.7725	163097.73249999998
516	310.237556826648	6.014278	0	97718.0275	148436.4275	78226.375	170129.1775	0	144755.8825	124376.5325	78226.375	147151.2175	0	97718.0275	148436.4275	78226.375	170129.1775
517	332.2194484336296	5.9909577	0	88862.34	147009.3025	75547.3125	153419.28749999998	0	129497.7825	119214.375	75547.3125	140578.7725	0	88862.34	147009.3025	75547.3125	153419.28749999998
518	183.13801074306744	5.993996	0	209852.755	211661.22	213731.2175	222968.97999999998	0	216864.3425	210772.55	219549.64	211027.64	0	209852.755	211661.22	213731.2175	222968.97999999998
519	357.3111156358312	6.0125165	0	131892.01499999998	246830.065	130212.725	226310.09	0	221175.5	165689.34999999998	130212.725	218167.32	0	131892.01499999998	246830.065	130212.725	226310.09
520	294.24273024259674	6.011629	0	443166.57999999996	740781.415	562388.04	644795.2825	0	632232.33	552780.7825	599987.65	606130.5549999999	0	443166.57999999996	740781.415	562388.04	644795.2825
521	288.2532853770132	6.0098395	0	227948.88999999998	241616.065	224895.2125	240175.08750000002	0	239335.2975	237588.425	221418.27	236293.2625	0	227948.88999999998	241616.065	224895.2125	240175.08750000002
522	312.2531585167523	6.0118423	0	331342.94	568937.095	411222.105	487146.47	0	485079.335	412137.55	476894.79500000004	424536.93000000005	0	331342.94	568937.095	411222.105	487146.47
523	334.2350950722351	6.012409	0	242581.66499999998	448624.0525	262103.08250000002	390212.41000000003	0	356079.29	310716.9175	340881.66000000003	335843.34249999997	0	242581.66499999998	448624.0525	262103.08250000002	390212.41000000003
524	252.23219623348052	6.020227	0	438889.11750000005	586787.5	452163.88999999996	577563.0225	0	539136.91	503701.33749999997	503338.6075	509226.67500000005	0	438889.11750000005	586787.5	452163.88999999996	577563.0225
525	292.2259214293074	6.023593	0	272788.305	335289.32	224644.1875	333635.365	0	305860.07	288476.00250000006	282852.0	289169.105	0	272788.305	335289.32	224644.1875	333635.365
526	191.143069680763	6.0291653	0	977652.7625	1000499.765	952969.4400000001	929468.4775	0	978611.4375	932966.175	979161.0800000001	969851.7525	0	977652.7625	1000499.765	952969.4400000001	929468.4775
527	333.1670662396803	6.0539703	0	260536.8	256903.5525	260373.49250000002	254895.7475	0	253330.6625	269353.875	250924.05250000002	259101.0025	0	260536.8	256903.5525	260373.49250000002	254895.7475
528	239.21176637093663	6.069265	0	0.0	144801.35	0.0	0.0	0	74636.1875	31199.3175	38965.845	0.0	0	0.0	144801.35	0.0	0.0
529	253.2275042029709	6.069265	0	0.0	141669.9165	0.0	0.0	0	73240.65	31896.6465	36532.62	0.0	0	0.0	141669.9165	0.0	0.0
530	267.24313572572146	6.0699596	0	0.0	191852.65	0.0	0.0	0	82412.6875	35915.9	42337.48	31186.5825	0	0.0	191852.65	0.0	0.0
531	295.27438529491513	6.0718403	0	0.0	130255.57375000001	0.0	0.0	0	67202.1875	29428.40625	33624.98	0.0	0	0.0	130255.57375000001	0.0	0.0
532	310.23758486318854	6.0412955	0	92981.195	144013.76	75415.0	162772.03	0	140258.3775	117019.38500000001	75415.0	142489.2225	0	92981.195	144013.76	75415.0	162772.03
533	351.3368954772575	6.0714045	0	0.0	666641.305	0.0	0.0	0	297190.625	111622.335	152124.985	105703.36	0	0.0	666641.305	0.0	0.0
