cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT	component	#Scan#	Compound_Name
895	199.1916936861589	7.612539	0	253968.45	0.0	236277.90500000003	0.0	0	75344.845	132908.035	137278.265	144715.21000000002	0	253968.45	0.0	236277.90500000003	0.0	44		
896	222.1026391157889	7.7079096	0	366617.68	216572.81	248459.9	447352.67	0	342168.59750000003	299234.475	232758.795	404841.1925	0	366617.68	216572.81	248459.9	447352.67	39		
897	208.08703006210868	7.826462	0	639315.285	471632.2325	520728.38	608533.435	0	647079.4375	552936.6525	379251.565	660941.6775	0	639315.285	471632.2325	520728.38	608533.435	18		
898	229.079484975524	7.800473	0	0.0	255034.0075	0.0	0.0	0	87470.7425	0.0	167563.265	0.0	0	0.0	255034.0075	0.0	0.0	-1		
899	186.1601110088	7.902216	0	1993644.725	0.0	1687774.8	1638145.765	0	1534368.775	848055.115	1353401.75	1583739.65	0	1993644.725	0.0	1687774.8	1638145.765	15		
900	208.0870295891705	7.9263754	0	621633.94	495275.2325	521419.7775	602179.1025	0	625900.2525	560525.0875	379750.8575	674331.855	0	621633.94	495275.2325	521419.7775	602179.1025	18		
901	210.0851720343265	7.9332223	0	195355.6325	192527.8125	143096.3075	186843.7575	0	287319.2025	173288.2575	0.0	257216.05	0	195355.6325	192527.8125	143096.3075	186843.7575	18		
902	186.1601095744308	8.011892	0	2094157.025	0.0	1461849.6	1738748.1749999998	0	1657165.275	612319.575	1399232.0	1626037.95	0	2094157.025	0.0	1461849.6	1738748.1749999998	15		
903	220.0869904604729	7.9839625	0	83138.9375	0.0	162832.135	0.0	0	83138.9375	89833.485	72998.65	0.0	0	83138.9375	0.0	162832.135	0.0	94		
904	186.16011115368545	8.0612	0	2093332.725	0.0	1720119.475	1824142.85	0	1729963.5	869964.35	1380489.2999999998	1657177.9	0	2093332.725	0.0	1720119.475	1824142.85	15		
905	254.1474900195246	8.102075	0	0.0	0.0	92532.475	0.0	0	0.0	92532.475	0.0	0.0	0	0.0	0.0	92532.475	0.0	-1		
906	232.16543371831688	8.1200485	0	900241.3	0.0	1432416.15	457979.235	0	298908.9075	1195103.595	637166.9450000001	659457.2375	0	900241.3	0.0	1432416.15	457979.235	2		
907	143.15432834407824	8.119591	0	4494165.25	4561223.625	3822952.825	5227791.05	0	4671669.25	4629890.2	4025953.0	4778620.3	0	4494165.25	4561223.625	3822952.825	5227791.05	2		
908	222.10263379025056	8.078182	0	265661.69	216897.15	202398.19	318289.725	0	193524.5	259192.4875	197496.8125	353032.955	0	265661.69	216897.15	202398.19	318289.725	39		
909	208.0870275163676	8.285677	0	584474.185	492311.6325	476349.575	604157.19	0	610655.05	551504.32	379943.86	615189.3525	0	584474.185	492311.6325	476349.575	604157.19	18		
910	159.1494773682105	8.244596	0	1059680.575	1199298.2625000002	938388.69	1244556.96	0	1176585.1	1173753.09	986218.9375	1105367.36	0	1059680.575	1199298.2625000002	938388.69	1244556.96	2		
911	222.10264149518417	8.317081	0	253362.3975	65476.66	193494.14	303514.5425	0	107245.54	197796.0625	182294.3625	328511.775	0	253362.3975	65476.66	193494.14	303514.5425	39		
912	141.13864750410582	8.352569	0	1122963.35	813157.025	1094751.15	1152177.575	0	1036440.775	1032504.825	991532.475	1122571.025	0	1122963.35	813157.025	1094751.15	1152177.575	-1		
913	208.0870276861698	8.3601465	0	594299.7825	471375.215	497657.615	623397.075	0	644796.4775	546546.56	376079.225	619307.425	0	594299.7825	471375.215	497657.615	623397.075	18		
914	218.14996662710897	8.510741	0	451964.655	0.0	298954.8825	310632.625	0	198960.21	260286.36	287465.5625	314840.03	0	451964.655	0.0	298954.8825	310632.625	2		
915	154.12266242020254	8.542765	0	0.0	0.0	111557.4375	0.0	0	0.0	111557.4375	0.0	0.0	0	0.0	0.0	111557.4375	0.0	-1		
916	250.09750583060315	8.542765	0	0.0	0.0	148112.7	0.0	0	0.0	148112.7	0.0	0.0	0	0.0	0.0	148112.7	0.0	-1		
917	399.2383800272789	8.699319	0	0.0	479008.93	0.0	0.0	0	111249.93	0.0	367759.0	0.0	0	0.0	479008.93	0.0	0.0	12		
918	421.2203164241437	8.699319	0	0.0	198068.7275	0.0	0.0	0	69072.915	0.0	128995.8125	0.0	0	0.0	198068.7275	0.0	0.0	60	918.0	STL218897
919	158.0927440573145	8.708076	0	0.0	510500.7225	0.0	0.0	0	143182.4375	70260.97	214802.65	82254.665	0	0.0	510500.7225	0.0	0.0	2		
