CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
167	404	3	0.7638	239.234
325	366	3	0.8439	2.015
366	426	3	0.816	-30.994
281	354	3	0.8826	110.146
293	354	3	0.8879	110.146
324	354	3	0.8771	55.089
354	381	3	0.8777	28.031
281	493	3	0.8961	264.246
288	493	3	0.8937	250.230
293	493	3	0.9052	264.246
493	503	3	0.9086	14.016
493	513	3	0.9283	28.031
299	302	3	0.8969	1.004
299	314	3	0.8222	-24.977
299	325	3	0.8848	1.039
299	326	3	0.87	0.036
299	368	3	0.8175	2.052
299	439	3	0.7854	-12.940
294	324	3	0.9046	27.026
298	324	3	0.9383	14.013
306	324	3	0.9376	13.010
309	324	3	0.9411	-0.000
310	324	3	0.92	-1.004
323	324	3	0.9525	-1.003
324	382	3	0.9205	-17.004
324	503	3	0.8738	223.204
324	513	3	0.9246	237.220
108	109	3	0.9576	14.015
108	111	3	0.9604	28.031
108	112	3	0.9491	42.047
440	446	3	0.8423	28.032
446	449	3	0.725	-2.015
417	418	3	0.9184	-1.001
418	422	3	0.8133	27.018
302	399	3	0.7864	-13.945
503	508	3	0.8476	13.012
367	408	3	0.8035	-13.980
397	408	3	0.8133	-42.010
408	457	3	0.7639	15.995
109	111	3	0.9449	14.016
111	112	3	0.9684	14.016
111	175	3	0.9236	14.016
313	321	3	0.9449	14.016
321	323	3	0.9118	-26.017
321	325	3	0.8586	-42.010
321	326	3	0.8403	-43.014
321	332	3	0.8584	-55.991
440	449	3	0.8027	26.016
449	504	3	0.7141	358.262
291	326	3	0.8702	13.048
292	326	3	0.8418	14.052
298	326	3	0.8692	-1.980
302	326	3	0.8882	-0.968
313	326	3	0.8511	-28.997
325	326	3	0.9415	-1.003
281	293	3	0.9226	-0.000
291	293	3	0.8928	-26.017
293	294	3	0.9044	28.031
293	301	3	0.8894	-13.979
293	359	3	0.9573	-48.021
288	306	3	0.9142	28.032
294	306	3	0.9472	14.017
298	306	3	0.9313	1.003
306	309	3	0.9141	13.010
306	310	3	0.9226	14.013
306	313	3	0.9085	26.014
306	323	3	0.96	14.013
306	382	3	0.9233	-3.994
306	513	3	0.9492	250.229
112	176	3	0.9233	14.015
169	176	3	0.8509	28.032
175	176	3	0.9627	14.015
176	218	3	0.815	0.000
176	239	3	0.8112	54.084
176	404	3	0.8578	236.215
109	357	3	0.7908	-2.964
169	357	3	0.8033	-16.979
281	357	3	0.9318	-30.995
357	359	3	0.8863	-17.026
357	426	3	0.727	42.084
109	359	3	0.8241	-19.990
281	359	3	0.9234	-48.021
359	371	3	0.8133	54.047
359	378	3	0.8737	56.062
359	413	3	0.8002	82.115
297	342	3	0.8083	72.090
342	351	3	0.79	-72.092
367	381	3	0.8292	2.016
367	397	3	0.8484	28.031
367	457	3	0.7672	2.016
109	112	3	0.9614	28.031
169	170	3	0.9164	-14.016
170	178	3	0.8815	-0.967
170	182	3	0.955	0.036
170	217	3	0.8978	0.036
170	218	3	0.8978	42.047
170	239	3	0.8905	96.131
298	503	3	0.876	237.217
503	513	3	0.9141	14.016
291	325	3	0.8738	14.051
302	325	3	0.946	0.036
314	325	3	0.8686	26.016
371	378	3	0.8188	2.016
371	413	3	0.7038	28.068
294	323	3	0.924	28.030
298	323	3	0.9085	15.016
309	323	3	0.918	1.003
310	323	3	0.9492	-0.000
323	378	3	0.9411	-48.019
323	382	3	0.9472	-18.007
323	513	3	0.959	236.216
169	175	3	0.8269	14.016
169	182	3	0.8927	-13.980
169	217	3	0.8361	-13.979
169	218	3	0.9531	28.032
169	239	3	0.8988	82.115
175	314	3	0.8076	14.052
302	314	3	0.8852	-25.981
310	378	3	0.9058	-48.020
378	413	3	0.7614	26.052
297	351	3	0.9262	-0.002
281	288	3	0.9389	14.016
281	294	3	0.9643	28.031
281	309	3	0.8825	55.058
281	310	3	0.9152	56.061
290	301	3	0.8568	-41.007
290	349	3	0.8362	69.102
239	413	3	0.7573	-34.005
343	413	3	0.8259	-48.021
278	349	3	0.8543	110.146
301	349	3	0.8628	110.109
343	349	3	0.833	14.016
278	301	3	0.9614	0.036
288	301	3	0.8869	-27.994
291	301	3	0.9004	-39.996
294	301	3	0.9019	-42.010
301	307	3	0.8657	-1.003
301	332	3	0.851	40.065
178	182	3	0.9054	1.003
182	217	3	0.9164	0.001
182	218	3	0.8801	42.012
182	239	3	0.8585	96.096
182	351	3	0.8083	12.003
298	382	3	0.8724	-2.991
309	382	3	0.8842	-17.004
310	382	3	0.9106	-18.008
382	513	3	0.9136	254.223
178	217	3	0.9157	1.004
178	218	3	0.8046	43.015
178	239	3	0.7957	97.098
217	218	3	0.8154	42.011
217	239	3	0.8033	96.095
467	468	3	0.7204	14.016
397	457	3	0.7363	-26.015
452	457	3	0.7083	26.016
288	309	3	0.8937	41.042
294	309	3	0.9467	27.026
298	309	3	0.9021	14.013
309	310	3	0.9469	1.004
288	513	3	0.8995	278.261
298	513	3	0.9017	251.233
310	513	3	0.9201	236.216
175	404	3	0.8698	250.230
175	218	3	0.7952	14.016
175	239	3	0.7748	68.099
175	288	3	0.8877	14.016
515	519	3	0.8046	26.016
504	519	3	0.7642	0.000
218	239	3	0.9148	54.084
288	294	3	0.9123	14.016
288	310	3	0.9245	42.046
278	291	3	0.8697	40.032
291	292	3	0.8822	-1.004
291	313	3	0.8879	42.045
294	310	3	0.9557	28.030
313	332	3	0.8501	-41.975
278	307	3	0.8588	-0.967
294	332	3	0.9516	-1.945
757	766	4	0.9043	83.961
760	766	4	0.8654	167.923
761	766	4	0.802	-83.961
