structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.272	0.272	-320.666	0.951	0.333	69.410	C40H60O7	[M + H3N + H]+	C40H64NO7+	RBBWLAVJQZGGMQ	InChI=1S/C40H60O7/c1-10-24-18-25(46-22-24)17-23(2)47-33(43)28-20-40(34(44)45)27(19-35(28,3)4)26-11-12-30-37(7)15-14-31(41)36(5,6)29(37)13-16-38(30,8)39(26,9)21-32(40)42/h10-11,17,25,27-32,41-42H,12-16,18-22H2,1-9H3,(H,44,45)	3-({[1-(4-ethylideneoxolan-2-yl)prop-1-en-2-yl]oxy}carbonyl)-5,10-dihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	CC=C1CC(OC1)C=C(C)OC(=O)C2CC3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)C)O)C)C(=O)O	7.100	162884481;162884482	COCONUT:(CNP0150750);TeroMol:(TKC167488);SUPERNATURAL:(SN0320584);PUBCHEM:(162884481 162884482)	11534338	670.468	29	0.480	839079746646020980	839079603569917706	839079603569917705	17	
1	1	0.070	0.104	-140.450	0.346	0.333	39.243	C32H62O	[M + H3N + H]+	C32H66NO+	YATMVCAGKFBFQY	InChI=1S/C32H62O/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-32(31-33)29-27-25-23-21-19-14-12-10-8-6-4-2/h30-31H,3-29H2,1-2H3	2-tridecylnonadec-2-enal	CCCCCCCCCCCCCCCCC=C(CCCCCCCCCCCCC)C=O	15.300	85989835;139585277	COCONUT:(CNP0356374);SUPERNATURAL:(SN0445268);PUBCHEM:(85989835 139585277);LOTUS:(Q105345577 Q104201521)	271581186	480.515	29	0.481	839079741281505707	839079603507003142	839079603502808837	16	
1	1	0.049	0.049	-268.766	0.999	0.333	138.090	C34H60O	[M + H3N + H]+	C34H64NO+	CTELIZCHQSPORU	InChI=1S/C34H60O/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-34(33-35)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h12,14,17-19,21,32-33H,3-11,13,15-16,20,22-31H2,1-2H3	2-(pentadeca-6,9-dien-1-yl)nonadeca-2,10-dienal	CCCCCCCCC=CCCCCCCC=C(CCCCCC=CCC=CCCCCC)C=O	13.900	85989836;139584255	COCONUT:(CNP0356371);SUPERNATURAL:(SN0054937);PUBCHEM:(85989836 139584255);LOTUS:(Q103818008 Q104969745)	271581186	502.499	29	0.483	839079744251073136	839079603783827222	839079603783827221	20	
1	1	0.051	0.051	-145.571	0.990	0.333	43.580	C32H60O	[M + H3N + H]+	C32H64NO+	YLJHJROOFZXHDT	InChI=1S/C32H60O/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-32(31-33)29-27-25-23-21-19-14-12-10-8-6-4-2/h16-17,30-31H,3-15,18-29H2,1-2H3	2-tridecylnonadeca-2,10-dienal	CCCCCCCCCCCCCC(=CCCCCCCC=CCCCCCCCC)C=O	14.400	85989831;139583674	COCONUT:(CNP0413678);SUPERNATURAL:(SN0453562);PUBCHEM:(85989831 139583674);LOTUS:(Q104201816 Q105350153)	271581186	478.499	29	0.483	839079746809598925	839079603712524050	839079603708329745	19	
1	1	0.038	0.038	-211.002	0.999	0.333	105.832	C34H62O	[M + H3N + H]+	C34H66NO+	MYFWKHCLOLRMPF	InChI=1S/C34H62O/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-34(33-35)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-19,21,32-33H,3-16,20,22-31H2,1-2H3	2-(pentadec-6-en-1-yl)nonadeca-2,10-dienal	CCCCCCCCC=CCCCCCCC=C(CCCCCC=CCCCCCCCC)C=O	14.500	85989839;139586776	COCONUT:(CNP0356377);SUPERNATURAL:(SN0238593);PUBCHEM:(85989839 139586776);LOTUS:(Q105174872 Q104172167)	271581186	504.514	29	0.483	839079844285231927	839079603855130394	839079603850936089	21	
1	2	0.286	0.633	-134.863	0.019	0.333	108.188	C34H67NO3	[M - H2O + H]+	C34H66NO2+	UQKAUNJILIUTGT	InChI=1S/C34H67NO3/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-34(38)35-32(31-36)33(37)29-27-25-23-21-19-14-12-10-8-6-4-2/h27,29,32-33,36-37H,3-26,28,30-31H2,1-2H3,(H,35,38)	N-(octadecanoyl)-hexadecasphing-4-enine	CCCCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCC)O	12.900	10582678;138274073	CHEBI:(179990);LIPIDMAPS:(LMSP02010046);LotusExpanded;PUBCHEM:(10582678 138274073)	10737418274	520.509	29	0.483	839079752434161153	839079603922239262	839079603918044957	22	
1	1	0.089	0.127	-176.265	0.877	0.333	81.891	C34H58O	[M + H3N + H]+	C34H62NO+	KFHUKCDZLVVXRL	InChI=1S/C34H58O/c1-12-30(4,5)24(3)14-13-23(2)25-17-21-34(10)27-15-16-28-31(6,7)29(35-11)19-20-32(28,8)26(27)18-22-33(25,34)9/h18,23,25,27-29H,3,12-17,19-22H2,1-2,4-11H3	1-(6,6-dimethyl-5-methylideneoctan-2-yl)-7-methoxy-3a,6,6,9a,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,5H,5aH,6H,7H,8H,9H,9aH,11H,11aH-cyclopenta[a]phenanthrene	CCC(C)(C)C(=C)CCC(C)C1CCC2(C1(CC=C3C2CCC4C3(CCC(C4(C)C)OC)C)C)C	11.400	22296238;629978	COCONUT:(CNP0314573);TeroMol:(TKC053388);SUPERNATURAL:(SN0184093);PUBCHEM:(22296238 629978);LOTUS:(Q105140381)	279969794	500.483	29	0.486	839079937168100500	839079604060651302	839079604056456997	24	
1	1	0.074	0.074	-140.579	1.000	0.333	107.510	C28H54O	[M + H3N + H]+	C28H58NO+	OQRCYPXTYUJJMF	InChI=1S/C28H54O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29/h9-10,28H,2-8,11-27H2,1H3	19-Octacosenal	CCCCCCCCC=CCCCCCCCCCCCCCCCCCC=O	12.600	25245229	METACYC:(CPD-8464);PUBCHEM:(25245229)	2050	424.451	29	0.488	839079755525363600	839079604123565866	839079604119371561	25	
1	1	0.160	0.160	-225.268	1.000	0.331	55.326	C29H48O15	[M + H3N + H]+	C29H52NO15+	JTIAMKZBSXQQDB	InChI=1S/C29H48O15/c1-8-16(6)27(37)42-24-23(40-20(34)9-14(2)3)19(12-31)39-28(25(24)38-17(7)33)44-29(13-32)26(22(36)18(11-30)43-29)41-21(35)10-15(4)5/h14-16,18-19,22-26,28,30-32,36H,8-13H2,1-7H3	Acylsucrose S4:17[2](2,5,5,5)	CCC(C)C(=O)OC1C(C(OC(C1OC(=O)C)OC2(C(C(C(O2)CO)O)OC(=O)CC(C)C)CO)CO)OC(=O)CC(C)C	1.200	91669255	METACYC:(CPD-19049);PLANTCYC:(CPD-19049);PUBCHEM:(91669255);PUBMED:(null)	133186	654.332	29	0.488	839079764262099723	839079604186480430	839079604182286125	26	
1	1	0.060	0.060	-146.130	0.996	0.333	70.700	C26H50O	[M + H3N + H]+	C26H54NO+	XQFXSCVOOZGRIX	InChI=1S/C26H50O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27/h9-10,26H,2-8,11-25H2,1H3	Hexacos-17-enal	CCCCCCCCC=CCCCCCCCCCCCCCCCC=O	11.500	20847611;23427517;73721039	SUPERNATURAL:(SN0437092);PUBCHEM:(20847611 23427517 73721039);LOTUS:(Q105339674)	269484034	396.420	29	0.489	839079744548868742	839079604312309558	839079604312309557	28	
